trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-16 11:59:14.633494,99,1000,2,0.6618,1.5421,0.5853,0.3318,0.7899,0.5864,0.9713,0.41600000000000004,0.551,0.2518,10.2941,0.0261,0.2267,0,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_2', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
BaseTrainer,2022-01-16 11:59:15.173946,99,1000,4,0.3608,1.2969,0.3648,0.227,0.6614,0.5163,1.0086,0.5607,0.3869,0.2196,10.2941,0.0153,0.2258,0,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_2', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
BaseTrainer,2022-01-16 11:59:15.701137,99,1000,8,0.32799999999999996,1.1516,0.3504,0.2028,0.6157,0.5322,0.9466,0.5159,0.3747,0.2151,10.2941,0.0131,0.2254,0,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_2', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=9)"
NewTrainer,2022-01-16 11:59:16.315063,99,1000,2,0.643,1.5678,0.5422,0.3269,0.7769,0.6139,1.0587,0.4947,0.5164,0.215,10.2941,0.0218,0.2266,1,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_2', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 11:59:16.888761,99,1000,2,0.5656,1.5099,0.4819,0.3241,0.7544,0.6131,0.988,0.5094,0.4308,0.2355,10.2941,0.0153,0.2258,4,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_2', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 11:59:17.403602,99,1000,2,0.5566,1.5801,0.5558,0.3427,0.8055,0.611,1.0101,0.4618,0.5186,0.2358,10.2941,0.0305,0.2276,16,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_2', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 11:59:18.081720,99,1000,4,0.3192,1.4216,0.4109,0.2628,0.7152,0.6048,0.9748,0.5164,0.3985,0.1766,10.2941,0.0174,0.2261,1,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_2', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 11:59:18.625808,99,1000,4,0.6533,1.5117,0.4541,0.3446,0.7329,0.6342,0.9841,0.5173,0.4159,0.2428,10.2941,0.0174,0.2258,4,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_2', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 11:59:19.156071,99,1000,4,0.3894,1.4323,0.4169,0.2606,0.7313,0.5851,0.9593,0.5129,0.3885,0.1888,10.2941,0.0196,0.2265,16,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_2', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
NewTrainer,2022-01-16 11:59:19.845058,99,1000,8,0.4049,1.1958,0.3415,0.2032,0.605,0.5602,0.9469,0.5072,0.3866,0.2052,10.2941,0.0153,0.2258,1,"Namespace(batch_size=256, data='tabular', data_name='glass-0-1-6_vs_2', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=9)"
