trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 21:29:58.116930,99,1000,2,0.5478,0.428,0.5159,0.3016,0.4996,0.2624,0.5086,0.3064,0.5146,0.222,66.5676,0.5492,0.0391,0,"Namespace(batch_size=256, data='time', data_name='136_UCR_Anomaly_InternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 21:30:01.076531,99,1000,4,0.2527,0.1002,0.2456,0.1076,0.2554,0.1059,0.239,0.1068,0.3017,0.0879,66.5676,0.6807,0.0642,0,"Namespace(batch_size=256, data='time', data_name='136_UCR_Anomaly_InternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 21:30:03.981377,99,1000,8,0.1458,0.0338,0.1605,0.0809,0.1408,0.0499,0.1624,0.0861,0.2106,0.0722,66.5676,0.6887,0.0668,0,"Namespace(batch_size=256, data='time', data_name='136_UCR_Anomaly_InternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-17 21:30:08.403553,99,1000,2,0.5386,0.4137,0.5156,0.3014,0.4881,0.2651,0.5102,0.3058,0.5031,0.2264,66.5676,0.5377,0.0381,1,"Namespace(batch_size=256, data='time', data_name='136_UCR_Anomaly_InternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:30:11.796960,99,1000,2,0.55,0.4146,0.5211,0.3003,0.4915,0.2575,0.516,0.3058,0.502,0.2205,66.5676,0.5308,0.0375,4,"Namespace(batch_size=256, data='time', data_name='136_UCR_Anomaly_InternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:30:14.827888,99,1000,2,0.6036,0.4476,0.5576,0.2748,0.5373,0.2318,0.5524,0.2798,0.5472,0.1917,66.5676,0.5416,0.0383,16,"Namespace(batch_size=256, data='time', data_name='136_UCR_Anomaly_InternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:30:19.251835,99,1000,4,0.4837,0.3358,0.4534,0.3033,0.4224,0.2631,0.449,0.3076,0.4320000000000001,0.2227,66.5676,0.5423,0.0383,1,"Namespace(batch_size=256, data='time', data_name='136_UCR_Anomaly_InternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:30:22.616183,99,1000,4,0.2519,0.095,0.2391,0.1055,0.2507,0.0905,0.2333,0.106,0.2947,0.0707,66.5676,0.6759999999999999,0.0573,4,"Namespace(batch_size=256, data='time', data_name='136_UCR_Anomaly_InternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:30:25.689967,99,1000,4,0.2924,0.1196,0.2889,0.1227,0.2815,0.0758,0.2863,0.1273,0.3186,0.0664,66.5676,0.5823,0.0421,16,"Namespace(batch_size=256, data='time', data_name='136_UCR_Anomaly_InternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:30:30.122790,99,1000,8,0.1446,0.0392,0.1652,0.0723,0.1654,0.0574,0.1646,0.0743,0.2312,0.0535,66.5676,0.7659999999999999,0.093,1,"Namespace(batch_size=256, data='time', data_name='136_UCR_Anomaly_InternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
