trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 21:29:15.622246,99,1000,2,0.563,0.5126,0.5306,0.3212,0.5638,0.3423,0.5424,0.3256,0.4498,0.26,43.7118,0.4127,0.0383,0,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 21:29:18.716449,99,1000,4,0.471,0.4814,0.5033,0.3317,0.5455,0.3615,0.5159,0.339,0.4037,0.2954,43.7118,0.3702,0.0364,0,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 21:29:21.750302,99,1000,8,0.1582,0.0585,0.1904,0.0508,0.1873,0.0571,0.1909,0.0533,0.1735,0.0751,43.7118,0.4121,0.0653,0,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-17 21:29:26.330772,99,1000,2,0.5567,0.5367,0.5376,0.3267,0.5843,0.3596,0.5521,0.3334,0.4557,0.297,43.7118,0.4001,0.0385,1,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:29:29.788742,99,1000,2,0.5665,0.4849,0.5373,0.2797,0.5527,0.3158,0.5521,0.2866,0.5232,0.3095,43.7118,0.4646,0.0474,4,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:29:32.930727,99,1000,2,0.5604,0.5234,0.5243,0.3273,0.5688,0.3586,0.5362,0.3341,0.4346,0.2873,43.7118,0.3948,0.0381,16,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:29:37.445337,99,1000,4,0.2888,0.1413,0.2863,0.10099999999999999,0.2958,0.1165,0.2901,0.1028,0.2593,0.1112,43.7118,0.4179,0.0416,1,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:29:40.861573,99,1000,4,0.2925,0.1567,0.2968,0.1249,0.3177,0.1407,0.3031,0.1269,0.2636,0.1288,43.7118,0.3982,0.0392,4,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:29:43.982814,99,1000,4,0.2957,0.1296,0.2823,0.0824,0.2937,0.0982,0.2859,0.0845,0.2603,0.1086,43.7118,0.4089,0.0482,16,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:29:48.505871,99,1000,8,0.1833,0.0545,0.1891,0.0382,0.1899,0.0434,0.1892,0.0408,0.1681,0.0692,43.7118,0.391,0.0582,1,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:29:51.965874,99,1000,8,0.1508,0.0597,0.1902,0.0531,0.1923,0.0635,0.1913,0.0561,0.1775,0.0847,43.7118,0.4297,0.068,4,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:29:55.104799,99,1000,8,0.1612,0.0541,0.1844,0.0429,0.1846,0.0482,0.1846,0.0455,0.165,0.0723,43.7118,0.4006,0.0591,16,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
BaseTrainer,2022-01-17 21:34:18.747980,199,1000,2,0.5363,0.4941,0.5156,0.324,0.5489,0.3499,0.5264,0.3302,0.4234,0.2667,43.7118,0.3916,0.0372,0,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 21:34:24.705050,199,1000,4,0.2537,0.1416,0.2864,0.1114,0.3032,0.1322,0.2927,0.114,0.2729,0.1264,43.7118,0.4512,0.0461,0,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 21:34:30.602101,199,1000,8,0.121,0.0564,0.1746,0.0575,0.1831,0.0724,0.17600000000000002,0.0615,0.1766,0.0981,43.7118,0.4373,0.1146,0,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-17 21:34:39.904126,199,1000,2,0.5099,0.4856,0.4992,0.3301,0.5419,0.3575,0.5093,0.3374,0.396,0.2809,43.7118,0.3557,0.0353,1,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:34:46.679024,199,1000,2,0.4529,0.3066,0.3937,0.1998,0.4304,0.2253,0.4014,0.2043,0.345,0.205,43.7118,0.3752,0.0378,4,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:34:52.785497,199,1000,2,0.5585,0.523,0.5336,0.3284,0.5744,0.3537,0.5466,0.3336,0.4524,0.2844,43.7118,0.4081,0.0388,16,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 21:35:02.114296,199,1000,4,0.2456,0.1069,0.2533,0.0808,0.2612,0.0999,0.2557,0.0833,0.2338,0.0947,43.7118,0.433,0.0438,1,"Namespace(batch_size=256, data='time', data_name='134_UCR_Anomaly_InternalBleeding15_1700_5684_5854', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=200, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
