trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-16 13:36:24.815157,99,1000,2,0.5439,0.381,0.5157,0.2986,0.4664,0.252,0.521,0.3077,0.5287,0.2368,66.5676,0.5479999999999999,0.0392,0,"Namespace(batch_size=256, data='time', data_name='028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-16 13:36:27.799024,99,1000,4,0.2746,0.0885,0.25,0.0956,0.2338,0.0953,0.248,0.0952,0.298,0.07,66.5676,0.6728,0.0603,0,"Namespace(batch_size=256, data='time', data_name='028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-16 13:36:30.723390,99,1000,8,0.1492,0.0337,0.1743,0.07200000000000001,0.1417,0.046,0.1775,0.0856,0.2107,0.073,66.5676,0.6402,0.0564,0,"Namespace(batch_size=256, data='time', data_name='028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-16 13:36:35.385481,99,1000,2,0.5392,0.366,0.5143,0.2979,0.4567,0.2508,0.5224,0.3089,0.5184,0.2412,66.5676,0.5371,0.0383,1,"Namespace(batch_size=256, data='time', data_name='028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:36:38.860915,99,1000,2,0.5477,0.3682,0.5229,0.2932,0.461,0.243,0.5299,0.3085,0.519,0.2335,66.5676,0.5296,0.0376,4,"Namespace(batch_size=256, data='time', data_name='028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:36:41.997269,99,1000,2,0.5995,0.3983,0.552,0.2792,0.5037,0.2225,0.5639,0.2868,0.5625,0.2084,66.5676,0.5388,0.0382,16,"Namespace(batch_size=256, data='time', data_name='028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:36:46.534431,99,1000,4,0.4434,0.2179,0.4004,0.2671,0.3365,0.2163,0.4123,0.2894,0.3849,0.2064,66.5676,0.5218,0.0367,1,"Namespace(batch_size=256, data='time', data_name='028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:36:50.016453,99,1000,4,0.2595,0.0859,0.2509,0.0986,0.2303,0.0952,0.2465,0.0996,0.297,0.0641,66.5676,0.6599,0.0534,4,"Namespace(batch_size=256, data='time', data_name='028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:36:53.172455,99,1000,4,0.2927,0.1027,0.2768,0.1052,0.2522,0.0823,0.2852,0.1145,0.3143,0.067,66.5676,0.5824,0.042,16,"Namespace(batch_size=256, data='time', data_name='028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-16 13:36:57.713479,99,1000,8,0.1536,0.0377,0.1772,0.0673,0.1523,0.0559,0.1779,0.0773,0.221,0.0644,66.5676,0.6761,0.0641,1,"Namespace(batch_size=256, data='time', data_name='028_UCR_Anomaly_DISTORTEDInternalBleeding17_1600_3198_3309', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
