trainer_name,now,return_epoch,early_stop_round,hidden_size,trn_loss,val_loss,avg_trn_ano_scr,std_trn_ano_scr,avg_val_ano_scr,std_val_ano_scr,avg_tst_ano_scr,std_tst_ano_scr,avg_true_ano_scr,std_true_ano_scr,IR,roc_auc,pr_auc,sampling_term,config
BaseTrainer,2022-01-17 19:40:13.335365,99,1000,2,0.5634,0.5268,0.5485,0.2366,0.5697,0.2475,0.5641,0.235,0.5378,0.2012,67.8165,0.474,0.0406,0,"Namespace(batch_size=256, data='time', data_name='035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 19:40:17.711122,99,1000,4,0.3336,0.2211,0.3505,0.1445,0.3627,0.1524,0.3636,0.141,0.3532,0.1272,67.8165,0.4784,0.0432,0,"Namespace(batch_size=256, data='time', data_name='035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
BaseTrainer,2022-01-17 19:40:22.068316,99,1000,8,0.2134,0.1291,0.2616,0.1248,0.2709,0.1344,0.2706,0.1235,0.2692,0.1241,67.8165,0.491,0.0443,0,"Namespace(batch_size=256, data='time', data_name='035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='BaseTrainer', window_size=60)"
NewTrainer,2022-01-17 19:40:28.639315,99,1000,2,0.6122,0.5663,0.5705,0.2369,0.5886,0.2464,0.5878,0.2324,0.5529999999999999,0.198,67.8165,0.459,0.0397,1,"Namespace(batch_size=256, data='time', data_name='035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:40:33.622232,99,1000,2,0.5992,0.5573,0.5705,0.2229,0.5891,0.2349,0.5867,0.2186,0.5594,0.1817,67.8165,0.4684,0.0399,4,"Namespace(batch_size=256, data='time', data_name='035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:40:38.135743,99,1000,2,0.6062,0.5327,0.5471,0.24,0.5704,0.2491,0.5623,0.2383,0.5299,0.2016,67.8165,0.4684,0.0402,16,"Namespace(batch_size=256, data='time', data_name='035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:40:44.770073,99,1000,4,0.3307,0.2037,0.3341,0.1425,0.3452,0.1563,0.3464,0.1389,0.3326,0.1264,67.8165,0.4697,0.0406,1,"Namespace(batch_size=256, data='time', data_name='035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:40:49.741887,99,1000,4,0.4984,0.4546,0.5193,0.2135,0.5398,0.2243,0.5346,0.2128,0.5095,0.1844,67.8165,0.4742,0.0411,4,"Namespace(batch_size=256, data='time', data_name='035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:40:54.251165,99,1000,4,0.3533,0.2466,0.3831,0.1309,0.3977,0.1381,0.3963,0.1271,0.381,0.1071,67.8165,0.4569,0.04,16,"Namespace(batch_size=256, data='time', data_name='035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
NewTrainer,2022-01-17 19:41:00.881002,99,1000,8,0.21600000000000005,0.1189,0.2515,0.1144,0.2588,0.1221,0.2609,0.1141,0.2569,0.117,67.8165,0.4816,0.0465,1,"Namespace(batch_size=256, data='time', data_name='035_UCR_Anomaly_DISTORTEDInternalBleeding8_2500_5865_5974', device='cuda:0', early_stop_round=1000, gpu_id=0, hidden_size=[2, 4, 8], initial_epochs=20, n_epochs=100, sampling_term=[1, 4, 16], train_ratio=0.7, trainer_name='NewTrainer', window_size=60)"
